Retailer Code,Sub Ret Cat Name,Zone Name,Region Name,Territory Name
ATHU0147,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0149,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0150,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0151,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0152,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0153,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0154,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0155,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0159,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0160,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0161,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0162,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0163,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0165,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0166,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0167,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0168,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0169,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0170,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0171,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0172,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0173,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0174,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0176,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0177,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0178,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0180,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0181,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0182,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0183,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0184,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0185,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0186,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0187,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0190,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0191,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0192,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0193,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0195,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0196,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0197,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0199,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0200,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0201,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0202,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0203,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0204,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0205,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0207,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0208,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0209,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0211,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0212,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0213,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0214,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0215,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0217,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0219,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0220,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0224,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0225,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0226,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0228,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0229,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0230,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0232,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0233,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0234,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0235,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0236,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0237,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0238,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0239,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0240,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0241,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0243,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0244,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0246,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0247,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0248,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0250,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0251,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0254,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0255,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0256,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0257,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0258,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0259,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0262,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0264,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0265,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0267,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0269,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0270,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0271,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0272,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0276,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0277,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0278,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0279,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0280,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0281,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0282,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
